,zipcode,state,target_clean,total_schools,has_preschool,has_elementary_school,has_middle_school,has_highschool,best_preschool_rating,best_elementary_school_rating,best_middle_school_rating,best_highschool_rating,preschool_distance,elementary_school_distance,middle_school_distance,highschool_distance,pool,sqft_clean,beds_clean,baths_int,has_half_bath,stories_int,is_split_level,fireplaces,has_firepit,heating_forced_air,heating_gas,heating_electric,heating_heat_pump,heating_oil,heating_baseboard,heating_radiant,heating_hot_water_steam,heating_central,heating_other,no_heating,cooling_central,cooling_heat_pump,cooling_evaporative,cooling_window_wall,cooling_fans,cooling_zoned,cooling_other,cooling_no,parking_garage,parking_carport,parking_driveway,parking_off_street,parking_other,parking_spaces,was_remodeled,city_clean,is_foreclosure,type_lot_land,type_single_family,type_condo,type_traditional,type_townhouse,type_multi_family,type_coop,type_mobile_manufactured,type_apartment,type_penthouse,type_farm_ranch,type_other,lotsize_clean,type_sum,house_age,is_new_construction,is_historical,best_preschool_rating_missing,best_elementary_school_rating_missing,best_middle_school_rating_missing,best_highschool_rating_missing
0,28387,NC,418000.0,8,1,1,1,1,0.0,7.0,4.0,7.0,0.99,5.1,3.6,5.1,0,2900.0,4.0,4.0,1,1.0,0,1.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,southern pines,0,0,1,0,0,0,0,0,0,0,0,0,0,2900.0,1,7.0,1,0,1,0,0,0
1,99216,WA,310000.0,3,1,1,1,1,4.0,4.0,4.0,4.0,1.01,1.65,1.01,1.65,0,1947.0,3.0,3.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,spokane valley,0,0,1,0,0,0,0,0,0,0,0,0,0,5828.0,1,7.0,1,0,0,0,0,0
2,90049,CA,2895000.0,3,0,1,1,1,0.0,8.0,8.0,8.0,100.0,2.63,1.19,2.63,1,3000.0,3.0,2.0,0,1.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,los angeles,0,0,1,0,0,0,0,0,0,0,0,0,0,8626.0,1,65.0,0,0,0,0,0,0
3,75205,TX,2395000.0,4,1,1,1,1,9.0,9.0,10.0,9.0,0.1,1.05,1.05,0.81,0,6457.0,5.0,8.0,0,3.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,dallas,0,0,1,0,0,0,0,0,0,0,0,0,0,8220.0,1,20.0,0,0,0,0,0,0
4,32908,FL,5000.0,3,1,1,1,1,5.0,5.0,5.0,5.0,3.03,3.25,3.03,3.25,0,0.0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,palm bay,0,1,0,0,0,0,0,0,0,0,0,0,0,10019.0,1,0.0,0,0,0,0,0,0
5,19145,PA,209000.0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0,897.0,2.0,,0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,philadelphia,0,0,0,0,0,1,0,0,0,0,0,0,0,680.0,1,106.0,0,1,0,0,0,0
6,34759,FL,181500.0,4,1,1,1,1,3.0,3.0,1.0,3.0,0.8,0.8,4.2,8.3,0,1507.0,,,0,1.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,poinciana,0,0,0,0,0,0,0,0,0,0,0,0,1,4996.0,1,20.0,0,0,0,0,0,0
7,38115,TN,68000.0,3,1,1,1,1,4.0,4.0,2.0,2.0,0.7,0.7,0.4,2.2,0,1809.0,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,memphis,0,0,0,0,0,0,0,0,0,0,0,0,1,8750.0,1,50.0,0,0,0,0,0,0
8,77080,TX,311995.0,3,1,1,1,1,4.0,4.0,3.0,2.0,0.7,0.7,0.6,1.9,0,1930.0,3.0,3.0,0,2.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,houston,0,0,1,0,0,0,0,0,0,0,0,0,0,2056.0,1,7.0,1,0,0,0,0,0
9,11354,NY,669000.0,3,1,1,1,1,10.0,10.0,8.0,2.0,2.37,2.37,1.88,0.3,0,1300.0,3.0,2.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,flushing,0,0,0,0,0,0,0,1,0,0,0,0,0,75359.0,1,61.0,0,0,0,0,0,0
